職缺名稱,公司名稱,工作地點,薪資,學歷要求,工作性質,遠端工作,更新日期,應徵人數,工作描述,產業類別,職缺連結,公司連結
數位轉型發展中心【解決方案業務Solution Sales】,零壹科技股份有限公司_Zero One Tech,台北市內湖區 內湖路一段360巷8號10樓,面議,大學、碩士、博士,兼職,否,2026-03-09,5,1. 負責BI、[[[RPA]]]兩個國際知名軟體產品線之數位轉型解決方案銷售 2. 工作內容涵蓋中型客戶經營與陌生客戶開發 3. 負責跨產業之客戶經營，協同原廠與合作伙伴共同發展銷售計畫，取得客戶訂單,電腦系統整合服務業,https://www.104.com.tw/job/79peo,https://www.104.com.tw/company/e7ef0go
【2026未來之星暑期實習】資安維運與自動化實習生_汐止_07750,緯創資通股份有限公司,新北市汐止區,"30,000 ~ 35,000 元",大學、碩士,兼職,否,2026-03-06,3,TrendMicro Vison one) 4. SOAR/[[[RPA]]]/Power Platform AI Agent 等自動化工具運用 5. 新興資安工具導入與整合專案,電腦及其週邊設備製造業,https://www.104.com.tw/job/8z0za,https://www.104.com.tw/company/5wthkkw
SAP ERP工程師/資深工程師,揚明光學股份有限公司_YoungOptics Inc.,新竹市 科學園區新安路7號,面議,專科、大學、碩士,兼職,否,2026-03-09,6,1.SAP 5大模組之一的糸統維運 (S/4 Hana) 2.UiPath [[[RPA]]] 系統維運,光學器材製造業,https://www.104.com.tw/job/8cfyu,https://www.104.com.tw/company/5votqa0
【風險諮詢】風險暨品質管理工讀生,勤業眾信聯合會計師事務所,台北市信義區 松仁路100號20樓,200 ~ 200 元,大學、碩士,兼職,否,2026-03-06,5,1. 整理合約文件至資料庫  2. 資料分析與視覺化  3. 既有工作流程自動化 4. 影片檔案編輯 5. 其他辦公室事務 6. 表現良好者，未來可能為儲備顧問人才 ,會計服務業,https://www.104.com.tw/job/7gkdo,https://www.104.com.tw/company/17n3i7lk
RPA工程師,關貿網路股份有限公司,台北市南港區 三重路19之13號6樓,面議,專科、大學、碩士、博士,兼職,否,2026-03-11,0,1.負責[[[RPA]]]專案系統之設計開發與技術文件製作 2.負責專案系統之設計開發與技術文件製作 3.系統建置及維護相關工作,電腦系統整合服務業,https://www.104.com.tw/job/7tiyl,https://www.104.com.tw/company/18mw4ku8
2500：資訊AI工程師/資訊AI高級工程師,耀登科技股份有限公司,桃園市八德區 和平路772巷19號,面議,大學,不限,否,2026-03-06,2,負責AI/[[[RPA]]]專案 1. AI相關需求訪談、解決方案規劃、程式開發與維護Copilot Stodio/Azure AI)。 2. 熟Visual Studio C#(MVC/Razor Pages等不限)。 3. [[[RPA]]](UiPath/,通訊機械器材相關業,https://www.104.com.tw/job/8x516,https://www.104.com.tw/company/atv7sfk
1-C2 資管部_SAP軟體工程師(工作地點：集團總部),饗賓餐旅事業股份有限公司,桃園市大園區 五青路150巷12號,"50,000 ~ 60,000 元",專科、大學、碩士、博士,兼職,否,2026-01-29,4,【工作內容】 1、SAP模組功能日常維運(使用者操作問題排除及維護)。 2、SAP相關程式開發及維護(例如報表、跨系統整合等)。 3、使用者需求確認，流程分析與SAP模組設定。 4. [[[RPA]]]流程自動化開發導入。  Facebook饗賓招募粉絲頁：,餐館業,https://www.104.com.tw/job/8ozph,https://www.104.com.tw/company/10qbb4w0
1-C2 資管部_SAP軟體工程師(工作地點：台北辦公室),饗賓餐旅事業股份有限公司,台北市大安區 新生南路一段111號9樓,"50,000 ~ 60,000 元",專科、大學、碩士、博士,兼職,否,2026-01-29,5,【工作內容】 1、SAP模組功能日常維運(使用者操作問題排除及維護)。 2、SAP相關程式開發及維護(例如報表、跨系統整合等)。 3、使用者需求確認，流程分析與SAP模組設定。 4. [[[RPA]]]流程自動化開發導入。  Facebook饗賓招募粉絲頁：,餐館業,https://www.104.com.tw/job/8ozop,https://www.104.com.tw/company/10qbb4w0
【國泰投信】資深公司會計專業人員_I00026142,國泰證券投資信託股份有限公司,台北市大安區 敦化南路二段39號6樓,面議,國中以下、高中職、專科、大學、碩士、博士,不限,否,2026-02-23,4,1. 數位財務分析與技術，進行各項財會資訊之分析，以提供主管決策參考 2. 因應國際會計準則及相關財稅專業知識暨法令之變動，進行規劃公司會計業務流程及系統 3. 進行公司年度預算及目標之管理及分析，以提供主管決策參考 4. 完成各項報表及法定財稅申報事項之管理，以確保資料提供及申報之時效性及正確性 5. 其他主管交辦事項,證券及期貨業,https://www.104.com.tw/job/8yahp,https://www.104.com.tw/company/wib0wn4
IT部軟體工程師,台灣三住股份有限公司,台北市中山區 松江路223號15樓,"50,000 ~ 80,000 元",大學、碩士、博士,不限,否,2026-03-09,13,1.社內系統開發時與內部/外部業者接洽溝通，可繪制系統架構圖。 2. [[[RPA]]](Power Automater)雲、地端流程開發、維護與優化。 3. Power BI製作與管理。 4.社內自動化工具開發與維護。 ,其他電子零組件相關業,https://www.104.com.tw/job/8xsyj,https://www.104.com.tw/company/ao3zm2o
【擴編徵才】ERP資訊工程師 (工作地:竹北或台中),利機企業股份有限公司,新竹縣竹北市 新竹縣竹北市台元街20號2F之2A,面議,大學、碩士、博士,不限,否,2026-01-16,4,操作、正規化、SQL 語法。 7. 熟悉AI技術應用於[[[RPA]]]或OA使用，對於AI技術有開發興趣者佳。,其他半導體相關業,https://www.104.com.tw/job/8po0i,https://www.104.com.tw/company/12r36c40
人事部主管,大樹連鎖藥局_大樹醫藥股份有限公司,桃園市桃園區 復興路186號18F(鄰近桃園火車站),面議,大學、碩士、博士,兼職,否,2026-02-23,5,1. 管理考勤、薪酬、保險、勞資爭議處理、勞動檢查、出差費用審核等相關C&B範疇業務。 2. 管理員工福利措施，籌辦公司內部年度大型活動，勞工健康保護等ER範疇業務。 3. 管理HRM系統運作，系統資料串接，[[[RPA]]]導入。 4. 部門內部作業風險控,藥品／化妝品及清潔用品零售業,https://www.104.com.tw/job/8udpn,https://www.104.com.tw/company/5vquxb4
資料工程實習生_自動化開發 Data Engineering Intern,欣新網股份有限公司,台北市信義區 東興路45號6樓,196 ~ 196 元,大學、碩士,不限,否,2026-03-02,6,【 About the role 】 1. 實際參與企業問題解決的討論與執行，深入理解業務邏輯與跨部門合作流程。 2. 根據主管方向自主規劃與執行任務，提升問題解決與專案管理能力。 3. 有機會接觸資料工程、商業智慧工具與雲端技術，累積業界實務經驗。  【 What you'll do 】 1. 建構並維護 Looker Studio dashboard，協助視覺化關鍵數據。 2. 維護現有專案 Python 程式碼與 Data Pipeline，確保資料流程穩定。 3. 開發自動化工具與程式，優化內部工作效率。 4. 協助其他部門數據處理與資料應用相關需求，支援營運決策。  【 Who you are 】 1. 大學部或碩士在學生，資訊、統計、工程、商管等相關科系佳。 2. 熟悉 Python 開發，具備使用 pandas 等套件處理 .csv、.json 等資料格式的經驗。 3. 理解基本 SQL 撰寫與資料查詢邏輯。 4. 熟悉 Google Sheets / Excel 操作，如 VLOOKUP、樞紐分析等。,網際網路相關業,https://www.104.com.tw/job/8qv5n,https://www.104.com.tw/company/1a2x6biqmj
人事與營運行政助理,鉅遊國際整合行銷有限公司(籌備處),台中市西區 台灣大道二段573號5樓B室,"面議（底薪 35,000 起）",高中職、專科、大學、碩士、博士,不限,否,2026-03-09,0,據整理與自動化流程  - 使用 Excel（VLOOKUP、樞紐分析、進階函數） 進行數據整理與報表製作。  - 協助建立與優化行政及財務相關報表。  - 使用 [[[RPA]]] 或自動化工具（如 Power Automate、UiPath、Excel,電腦軟體服務業,https://www.104.com.tw/job/8z1ul,https://www.104.com.tw/company/1a2x6bnodb
資訊專員,亞東證券股份有限公司,新北市板橋區 新站路16號13、14樓,"32,000 ~ 37,000 元",大學、碩士、博士,兼職,否,2026-03-06,1,1.維運證券交易、帳務系統(應用軟體，後台) 2.維運證券電子交易平台(應用軟體，前、中台) 3.維運網路設備、伺服器、PC、資安設備(硬體),證券及期貨業,https://www.104.com.tw/job/8pkme,https://www.104.com.tw/company/gsii60o
資訊部-主任 (Application Support),香港商東亞銀行有限公司台北分公司,台北市松山區 敦化北路88號10樓、10樓之3及11樓之3,面議,大學、碩士,不限,否,2026-03-10,2,1.分析和維護現有應用程式； 2.規劃整合專案並制定工作計畫； 3.根據供規格和技術設計開發程式； 4.發現並解決現有應用程式問題。 5.管理廠商專案及需求,銀行業,https://www.104.com.tw/job/6a5hw,https://www.104.com.tw/company/18n286pc
資訊工程師_台元科技園區(N00),均華精密工業股份有限公司,新竹縣竹北市,"34,000 ~ 60,000 元",專科、大學、碩士、博士,不限,否,2026-03-09,6,1.Notes應用系統開發維運 2.C#應用系統開發維運+[[[RPA]]] 3.SQL資料庫開發維運 4.資訊系統維運管理 5.主管交辦事項  ,半導體製造業,https://www.104.com.tw/job/8v2qs,https://www.104.com.tw/company/oflnowg
數位專案管理師_新竹_06615,緯創資通股份有限公司,新竹市,面議,大學、碩士、博士,兼職,否,2026-03-10,3,"1.WW or廠區各項數位工具導入 2.數位工具導入後使用推廣,提升效率 2.數位工具導入後運作維護&優化 3.串接數位專案PO, 開發IT, 及內部各Function  4.協助內部各項[[[RPA]]] 開發 5.擅長工具 : PRA, PBI, SAP",電腦及其週邊設備製造業,https://www.104.com.tw/job/8ulzl,https://www.104.com.tw/company/5wthkkw
RPA程式人員,儒鴻企業股份有限公司,新北市新莊區 中央路738號 (近捷運新莊副都心站),面議,大學、碩士,兼職,否,2026-03-09,0,"1. 流程分析 2. [[[RPA]]]流程設計, 開發與部署 3. 文件撰寫與流程紀錄",紡織成衣業,https://www.104.com.tw/job/8jmwy,https://www.104.com.tw/company/ghgox7c
MIS管理資訊工程師,興全生醫科技股份有限公司,新北市汐止區 中興路43-6號2樓,"45,000 ~ 60,000 元",專科、大學,不限,否,2026-03-06,3,與內部協作。  3. AI／自動化應用（Automation & AI Enhancement） 使用 AI（如 Python、[[[RPA]]]、Copilot、ChatGPT API 等）開發流程自動化工具。 協助同仁優化日常流程，例如文件自動生成、資料比,生化科技研發業,https://www.104.com.tw/job/8z1fm,https://www.104.com.tw/company/1a2x6bk30c
CIM工程師 (台中后里),GIS-KY(6456)業成集團_英特盛科技股份有限公司,台中市后里區 后科南路2號,面議,大學、碩士,兼職,否,2026-03-09,2,1.前後端功能開發 2.資料庫功能開發 3.AI相關功能開發. 4.各廠區自動化系統開發與推展([[[RPA]]]/SECS) 5.各廠區系統需求開發 支援各廠相關CIM系統開發,光電產業,https://www.104.com.tw/job/8xltl,https://www.104.com.tw/company/1a2x6bi80a
【高年級】課程營運專員（高年級課程平台）,104人力銀行_一零四資訊科技股份有限公司,新北市新店區 寶中路119號3樓(231),"40,000 ~ 50,000 元",專科、大學、碩士,兼職,否,2026-03-09,8,「高年級平台」是104集團的旗艦計畫，透過AI技術連結多元社群，致力於打造尊重、信任、共榮的生態圈。我們的願景是成為高年級學習的國民品牌，幫助中高齡族群重新定義工作、生活與學習，找到新的價值與方向。  1.平台開課老師經營管理：老師上架管理及開課老師申請審核、經營，協助老師系統操作及開課及課程品質管理，創造優質平台內容。 2.平台專案規劃、執行、專案進度管理。 3.高年級會員服務：協助平台會員系統操作、訂單等相關問題，打造優質的學習體驗。 4.平台課程相關課務執行作業，如：課程影片剪輯(初階)、課程上架、數據報表製作、請款…等。  ※ 目前上班地點為【新北市新店區寶中路119號】，預計2027年中搬遷至【台北市信義區市民大道六段288號】(松山火車站及捷運松山站共構大樓)。,網際網路相關業,https://www.104.com.tw/job/8qmt1,https://www.104.com.tw/company/12v3o7uw
114029 BPM資訊工程師,鈺邦科技股份有限公司,苗栗縣竹南鎮 科東三路2、6號4樓,"60,000 ~ 80,000 元",大學、碩士,不限,否,2026-03-11,0, Web Service 整合。 4.需求訪談與技術文件撰寫：蒐集並分析需求，撰寫系統設計文件、操作手冊。 5.問題排除與系統監控：處理系統異常、效能調校，並確保 SLA 達成。 6.新技術研究與導入：評估 [[[RPA]]]、AI、低程式碼平台等相關技術應用於,其他電子零組件相關業,https://www.104.com.tw/job/8tsmi,https://www.104.com.tw/company/cw4ypwg
●AI應用整合工程師 AI Integration Engineer● AI技術應用工程師●AI專案專員●【年薪不設限】★薪30K-55K+降低成本的1%★►季獎金►外縣市供宿●IT資訊專員●,騏宏科技股份有限公司,台南市永康區 中正北路699巷2號,面議,專科、大學,兼職,否,2026-03-06,5,"我們的特色 ✔來這裡上班，你絕對可以體會到團隊的熱情以及對新人的體諒。 對於每一位新進員工，我們都會秉持稻盛精神，大家族主義。  我們的工作，上班時間雖然忙碌，但是為了能夠讓團隊向前進，也為了能讓第二天的工作可以順利開始，在下班前的幾個小時就會開始調度人手，協助工作較吃重的同事。 相信在上班的時間內你也會很樂意幫助同事，幫助團隊，每次下班前看到各位同事彼此協助，和樂融融打成一片的畫面心情都會覺得特別滿足。  ✔我們是一個快樂的團隊，歡迎您加入我們。 來到這裡學到什麼或是要做什麼，我們都會一同成長一起完成。   職務內容： 1.跨部門流程盤點與改善 •走訪資材、業務、研發、生產、品管等部門，盤點重複/低效作業 •將流程拆解、標準化並建立 SOP（含表單、範本、輸入輸出格式） 1.1各部門AI規劃 •規劃公司AI系統通一架構,快速複製延展至各部門AI應用與統一維護 •各部門AI應用架構、分類、標籤、版本控管、權限規劃 2.AI 工具導入與落地（以效率提升為目標） •依任務選用合適模型/工具（釘釘AI(通義)、ChatGPT、Claude、Gemini 等） •產出可用的提示詞模板、工作指引、品質檢核規則（避免胡亂生成） 3.企業知識庫(釘釘文檔知識庫)整理與AI串聯（NotebookLM / 內部文件治理） •整合制定部門知識庫架構、分類、標籤、版本控管、權限規劃 •讓內部資料查詢更方便、可引用、可追溯，提升新人上手與跨部門協作效率 4.自動化工作流與系統串接 •API 串接、Webhook、自動化流程設計（資料彙整、報表、通知、追蹤） •能使用 Python 或 No-code 工具（MCP/SKLLS/n8n/Make/Zapier） •串聯搭配系統:CITRIX/釘釘/保全/人臉辨識/監控系統/機台/鼎新ERP/MCU PIC崁入系統/IOS/Android系統 5.建立監控與回報機制：錯誤提醒、紀錄、重跑、權限管理 •市場/競品情報自動化（加分項） •使用 Perplexity 等工具建立定期產業快報與關鍵字監控 6.公司系統維護／操作 7.主管交辦事項 8.需接受公司企業文化，京瓷哲學教育訓練。  【我們提供】 •高自由度導入環境：可測試最新 AI 技術，只要有效就支持上線 •跨部門視角與影響力：直接參與公司流程與數位轉型核心 •可量化成果舞台：每個專案可用阿米巴時間價值證明  注意事項: 1.相關科系或相關證照,錄取相關職能儲備人員為基本條件 2.如跨科系,將須增加接受基礎訓練 #無經驗可 #活力企業 #新鮮人首選  ✔優點： 茶水間滿滿的各種茶點，源源不決。 保健食品隨時補上，您的健康，公司守護。 健身設施，不用怕胖，只怕你鐵腿。 KTV！高歌一首不被限制！隨時讓你嘶吼飆高音~ 久坐讓你腰酸背痛，下半身開始失控嗎？ 電動升降桌是辦公室人員必備物件，隨時站一下辦公，擺脫蘿蔔跟酪梨身材！ 全員配備雙螢幕，加速工作效能！  ✖缺點： 開會時真的很像提槍上陣殺敵，玻璃心易碎千萬謹慎評估 工作步調超快！跟不上你會被甩到千里之外 地板古溜像在滑冰場，如果你是急驚風，很容易摔的四腳朝天 中午休息沒有電風扇，只有冷氣讓你偶爾冒汗  ✔除了薪資會獲得些什麼？ ★季獎金/年終獎金/三節禮金/提案改善獎金 (各類獎金發放依公司公告辦理) 一整群夥伴，隨時陪你一起成長 強大的公司後盾支援  #WorkatTWL  #可年後報到 ",汽車及其零件製造業,https://www.104.com.tw/job/7igyk,https://www.104.com.tw/company/odofhrk
軟體開發工程師 Software Developer,永輝啟佳聯合會計師事務所,台北市中山區 長春路378號6F,面議,大學、碩士、博士,不限,否,2026-02-12,1,〔職務說明〕 因應公司數位化轉型與內部系統優化需求，我們正在尋找一位軟體開發工程師， 加入團隊，參與會計、管理與營運相關系統的設計、開發與持續改善。 這個職位不是外包、也不是接案，而是實際參與公司核心流程的內部系統開發， 你寫的每一個功能，都會直接影響同事的工作效率與品質。  〔職務內容〕 ．參與公司核心系統與應用程式的設計、開發與維護 ．與內部使用者（財務、會計及管理同仁）溝通需求，確保系統符合實務流程 ．撰寫乾淨、可維護且具擴充性的程式碼 ．進行程式除錯、效能優化與版本控管 ．評估並導入合適的工具或技術，提升系統穩定性與開發效率 ,會計服務業,https://www.104.com.tw/job/8xwc5,https://www.104.com.tw/company/3yof80g
"企業AI專案經理（Business Project Manager, BPM）",樂達創意科技股份有限公司,桃園市中壢區 青峰路一段47號6樓,"45,000 ~ 75,000 元",大學,不限,是,2026-03-02,5,1.所屬部門：業務與專案整合部（BPM部門） 2.客戶需求訪談與導入潛在專案挖掘 3.協助完成專案開案作業、撰寫專案定義書與效益評估 4.擔任專案窗口，整合 BD、TPM、FAE 及 RD 部門資源 5.與客戶協商排程、進度與驗收條件 6.負責結案與成效追蹤、後續新案機會開發 7.協助導入知識管理系統，輸出專案模板、案例知識 ,電腦軟體服務業,https://www.104.com.tw/job/8phvs,https://www.104.com.tw/company/1a2x6bmqt8
D01-自動化工程師(AE)_旅遊科技部_技術研發組,雄獅資訊科技股份有限公司,台北市內湖區 石潭路151號,面議,大學、碩士、博士,兼職,否,2026-01-29,1,1. [[[RPA]]]流程自動化需求訪談、分析、設計、開發 2. 針對網站結構變動維護與修正現有[[[RPA]]]流程 3. 研究反爬蟲技術並設計規避策略 4. 產出專案文件（如操作手冊、維運手冊、工作說明書） 5. 協助客戶熟悉自動化平台操作，提供教育訓練與技術支援,電腦軟體服務業,https://www.104.com.tw/job/8pth3,https://www.104.com.tw/company/13kq7dpk
JL -[知名科技團隊] - IT資訊部門徵求軟體工程師(PRA自動化) - 月薪48K~85K可討論 (環境/團隊文化良好/交通便利),新加坡商立可人事顧問有限公司台灣分公司,台北市中山區,面議,大學、碩士、博士,不限,否,2026-03-10,1,1.社內系統開發時與內部/外部業者接洽溝通，可繪制系統架構圖。 2. [[[RPA]]](Power Automater)雲、地端流程開發、維護與優化。 3. Power BI製作與管理。 4.社內自動化工具開發與維護。  【工作技能】 1) 具軟體程式開發,人力仲介代徵,https://www.104.com.tw/job/7n6eq,https://www.104.com.tw/company/1a2x6bizrb
龍潭廠-人資人員,禾伸堂企業股份有限公司,桃園市龍潭區 烏林村工五路90巷61號,"35,000 ~ 40,000 元",大學、碩士,兼職,否,2026-03-06,7,1.協助越南移工員工關係及問題處理 2.中越文日常溝通與文件翻譯 3.協助人資招募、行政作業 4.參與人資流程優化、HR系統建置或[[[RPA]]]自動化報表建置及執行 5.RBA相關文件及稽核作業 6.其他主管交辦事項,其他電子零組件相關業,https://www.104.com.tw/job/8y5v4,https://www.104.com.tw/company/9li5mb4
數位發展專案副理/經理,冠德建設股份有限公司,台北市松山區 民福里民權東路三段169號,面議,大學、碩士、博士,兼職,否,2026-03-09,6,一、共同制定和優化集團數位轉型策略 1.站在集團總管理處的視角，制定跨公司（冠德建設、根基營造、環球購物中心等）的數位2.轉型戰略，確保符合集團長期經營目標與競爭優勢。 3.盤點跨公司系統現況，找出可整合的資源與系統缺口。 4.盤點現有資料字典與欄位清單，評估跨系統數據整合路徑。 5.分析市場趨勢與競爭動態，提供數位優化建議，識別並評估新的技術應用場景。 二、技術端專案推動與廠商管理 1.對接集團資訊部門，確保數位轉型專案的技術需求被正確理解，並協助排定技術執行優先序。 2.管理外部廠商的技術交付品質、時程與驗收標準，確保專案目標如期達成。 3.將業務需求轉譯為可執行的技術規格，協同內外部技術團隊推動落地。 4.規劃並追蹤專案時程與進度，識別技術風險並提出因應方案。 三、集團流程優化與數位化改造 1.審視跨公司現有業務流程，提出可跨公司複用的數位化解決方案，促進流程自動化，提升2.集團整體運營效率。 3.負責技術文件產出，包含需求規格書、流程圖、介面 Prototype 等。  ,建築工程業,https://www.104.com.tw/job/8tick,https://www.104.com.tw/company/e71lcv4
資訊軟體業務-3DW283,敦新科技股份有限公司,台北市中山區 民生東路三段49號9樓,面議,大學、碩士,不限,否,2026-03-10,2,工作內容：  1. [[[RPA]]]、企業流程開發軟體為主的解決方案銷售 2. 開發發經銷商通路擴展商機與定期拜訪客戶 3. 經營維繫經銷商通路，拓展市場，以達成業績目標 4. 負責業務接洽及報價，掌握出貨狀況，並追蹤產品交期  5. 負責溝通技術部門之協,電腦系統整合服務業,https://www.104.com.tw/job/7xlg2,https://www.104.com.tw/company/5snb99k
(Consulting) Business Consultant - Application Automation,IBM_台灣國際商業機器股份有限公司,台北市信義區 松仁路7號3樓,面議,大學、碩士、博士,兼職,否,2026-02-26,15," security controls (ISO 27001 or equivalent).  *  Guide adoption of Agile, DevOps, [[[RPA]]], and automation practices,",電腦系統整合服務業,https://www.104.com.tw/job/8yq3x,https://www.104.com.tw/company/5h3lyhs
D614 簡訊產品推廣專員,台灣大哥大股份有限公司,台北市信義區,面議,國中以下、高中職、專科、大學、碩士、博士,兼職,否,2026-03-06,1,1.負責簡訊相關產品市場推廣，簡訊市場生態了解與機會探詢，促進業績成長 2.開發新客戶（陌生開發 / 電訪 / 拜訪），拓展簡訊業務，尋找潛在客戶 3.了解客戶需求，規劃並提出簡訊銷售方案，並獨立製作商務簡報與對外進行客戶提案 4.客戶需求了解，市場趨勢觀察與新機會可能性探索，與內部PM協作進行新功能開發 5.協助內部業務作業，如客戶管理、報表分析等  【薪資待遇】月薪依能力與經歷核敘；若績效達平均水準者，年薪約77~95萬，績效優者年薪將更高。,電信相關業,https://www.104.com.tw/job/83euf,https://www.104.com.tw/company/18n48ptc
【財務投資】投資作業二科科主管,富邦人壽保險股份有限公司(總公司),台北市信義區 松高路77號,面議,大學,兼職,否,2026-03-09,5,1.監督覆核投資交易確認與交割流程 2.管理投資部位系統操作與資料維護 3.與前台投資部門、後端帳務單位及外部機構保持良好溝通,人身保險業,https://www.104.com.tw/job/8tubi,https://www.104.com.tw/company/ctztka0
Digital Transformation Manager (HR),貿聯國際股份有限公司,新北市中和區 建一路186號3樓,面議,大學、碩士、博士,兼職,否,2026-03-04,5," Process Automation ([[[RPA]]]), AI/Machine Learning (AI/ML), cloud-based platforms, and advanced data analytics. * Technology",其他電子零組件相關業,https://www.104.com.tw/job/8t5r8,https://www.104.com.tw/company/18jym5s8
設備智慧整合工程師(ER114066),高力熱處理工業股份有限公司,桃園市中壢區 吉林北路2號,"45,000 ~ 57,000 元",專科、大學、碩士,兼職,否,2026-03-09,5,1. 設備軟/硬體規劃、優化與整合。 2. [[[RPA]]]/IPA流程規劃。 3. 配合主管或跨部門需求，執行其他交辦事項。  備註：會使用任一種AI工具者為佳（GPT、Gemini、Node-RED、n8n、NotebookLM、Notion…等） ※,金屬加工用機械製造修配業,https://www.104.com.tw/job/8vxz3,https://www.104.com.tw/company/g844pk8
[集團] 後端工程師/專員(新竹),AVIS艾維士租車_安維斯汽車租賃股份有限公司,新竹縣竹北市 中華路340-15號2F,面議,專科、大學、碩士、博士,兼職,否,2026-03-10,4,如果您渴望有發展的舞台，更寬廣的視野，喜歡與人溝通，擅長跨部門合作，非常歡迎您加入我們！我們重視創新、合作與持續學習的文化。  1. 負責後端功能、API開發與維護、效能優化 2. 後端系統分析、設計以及程式撰寫 3. 與團隊成員協同合作，最佳化資料傳遞與資料處理 4. 協助團隊專案開發並配合專案執行的時間完成 5. 維護既有資料庫(MSSQL)，Python、PHP及.Net MVC程式碼並優化 6. 後臺開發與維護,運輸工具設備租賃業,https://www.104.com.tw/job/8kxt9,https://www.104.com.tw/company/1a2x6bie8y
資訊工程師,南美特科技股份有限公司,高雄市楠梓區 楠梓區中央路36號,"36,000 ~ 60,000 元",大學、碩士,不限,否,2026-03-10,10,●ERP 系統的客製化開發、報表設計及維運 ●內部資訊系統整合、程式開發及維運 ●新資訊系統需求分析與程式開發、導入 ● 配合公司專案推動資訊化應用、流程優化與[[[RPA]]]導入並完成主管交辦事項 ● 新技術應用及導入 (如AI) ,半導體製造業,https://www.104.com.tw/job/8s5s4,https://www.104.com.tw/company/a5ilaq0
MIS資訊系統工程師,鏵友益科技股份有限公司,高雄市路竹區 北嶺六路88號,"35,000 ~ 55,000 元",專科、大學,不限,否,2026-03-10,3,背景服務 (Batch Job)。 4. 自動化流程建置：開發與維護自動化流程 ([[[RPA]]]) 及 ETL工具，以簡化作業流程。 5. 需求實現與優化：根據使用者需求，進行系統分析、設計，並開發新功能模組，協助單位提升生產力。,其他金屬相關製造業,https://www.104.com.tw/job/8vonc,https://www.104.com.tw/company/1a2x6bj184
軟體工程師-竹北/新莊,力致科技股份有限公司,新竹縣竹北市 新泰路31號2樓,面議,大學、碩士,不限,否,2026-03-11,7,1.Oracle 資料庫管理與效能優化（含備份機制、SQL 調校、安全性控管） 2.ERP 系統規劃與跨平台整合（Tiptop系統與流程設計） 3.AI 技術導入與流程自動化（含 [[[RPA]]]、模型部署、資料整合）,電腦及其週邊設備製造業,https://www.104.com.tw/job/7hms2,https://www.104.com.tw/company/7h0uen4
D03-數位流程優化專員(PM)_旅遊科技部_數位轉型組,雄獅資訊科技股份有限公司,台北市內湖區 石潭路151號,面議,大學、碩士、博士,兼職,否,2026-01-29,8,1. 營運流程盤點與改善提案 ．針對部門流程與重複性作業進行盤點與痛點分析 ．評估並導入自動化技術（如 [[[RPA]]]、NoCode / LowCode）提升效率 ．製作流程圖，協助優化與導入執行 2. 跨部門溝通與協作推動 ．與營運端深入訪談，提出具體,電腦軟體服務業,https://www.104.com.tw/job/8pthw,https://www.104.com.tw/company/13kq7dpk
【南港知名美商電腦原廠-Procurement Operations Analyst 採購營運數據分析師】KA_816,藝珂人事顧問股份有限公司,台北市南港區,"面議（底薪 50,000 起）",大學、碩士,不限,否,2026-03-09,6, dashboards ✔️ Support and execute digital process improvements and robotic process automation ([[[RPA]]]) initiatives ✔️ Contribute,人力仲介代徵,https://www.104.com.tw/job/8r02z,https://www.104.com.tw/company/1303ngy0
【諮詢服務】財務與企業轉型諮詢 - 技術顧問/資深顧問,安永聯合會計師事務所,台北市信義區 基隆路一段333號9樓(110),面議,大學、碩士、博士,兼職,否,2026-03-09,3,"As a member of our Finance Performance & Organization Transformation team, you will work with leading companies on their transformation journey.  Our projects span from finance digitalization to people and organizational change, giving you the opportunity to grow into a well-rounded transformation advisor. What you will do: - Support finance digital transformation, including: 　- Budgeting & forecasting process design and system implementation 　- Consolidation process design and system implementation 　- Management reporting design and optimization 　- KPI and performance measurement design - Deliver people capital consulting, including: 　- Organization structure and workforce design 　- HR policies and compensation framework optimization 　- Performance management and incentive design 　- Succession Planning - Contribute to enterprise transformation initiatives, including: 　- Target operating model redesign (including process, organization, technology) 　- Culture shaping and change management What makes this role unique: - You will specialize in finance transformation, while also developing expertise in people and organizational change — a rare combination highly valued in the market. - You will work in cross-disciplinary teams that integrate finance, HR, and operations perspectives to solve client challenges. - You will have exposure to end-to-end transformation projects, giving you both depth in finance and breadth in organizational development. What we are looking for: - Passion for finance, organization, and digital transformation - Strong problem-solving and analytical skills - Ability to communicate complex ideas clearly - Team player with adaptability in a fast-changing environment",會計服務業,https://www.104.com.tw/job/8tgzj,https://www.104.com.tw/company/1vzrgxd
資訊室主管,陸海股份有限公司,新北市汐止區 大同路二段171之1號12樓,"50,000 ~ 59,999 元",專科、大學、碩士、博士,不限,否,2026-03-03,5,合。 資訊安全防護體系（包含防火牆、端點防禦、備援機制與權限控管），定期執行資安稽核與災難復原演練。 4.行政管理與資產規劃： 預算編列，軟硬體採購、設備汰換與資訊資產生命週期規劃。 5.技術導入與創新： AI 應用、[[[RPA]]] 流程自動化,貨運承攬業,https://www.104.com.tw/job/8xh8u,https://www.104.com.tw/company/29hi3g0
〔個金〕異常監控分析專員,台新新光金控_台新國際商業銀行股份有限公司,台北市中山區 中山北路二段44號3樓,面議,大學、碩士,兼職,否,2026-03-10,1,企業流程，運用[[[RPA]]]執行自動化流程設計、開發、維運  ,銀行業,https://www.104.com.tw/job/7gqav,https://www.104.com.tw/company/13qvhzjs
